,org_type_x,org_name_x,match_name,match_type,org_rbz_x,org_prv_x,match_rbz,area,rkm,year,cholera,population,o_craft_1849,o_ind_1849,o_serv_1849,o_agr_1849,rural_county
0,Landkreis,Aachen,AACHEN,1,Aachen,Rheinland,AAC,363.84564,66.760002,1875,0,97389,3319,7080,10270,11407,1
1,Stadtkreis,Aachen,AACHEN,2,Aachen,Rheinland,AAC,42.025661,10.7,1875,2,78489,4469,19775,6222,3507,0
2,Landkreis,Düren,DUREN,0,Aachen,Rheinland,AAC,544.58789,66.279999,1875,0,67999,2729,4574,5703,29154,1
3,Landkreis,Erkelenz,ERKELENZ,0,Aachen,Rheinland,AAC,268.38068,13.71,1875,0,38126,1898,1334,2843,22968,1
4,Landkreis,Eupen,EUPEN,0,Aachen,Rheinland,AAC,166.11438,15.14,1875,0,25443,1498,4546,1343,3895,1
5,Landkreis,Geilenkirchen,GEILENKIRCHEN,0,Aachen,Rheinland,AAC,194.24429,17.32,1875,0,25949,1412,1912,2010,13674,1
6,Landkreis,Heinsberg,HEINSBERG,0,Aachen,Rheinland,AAC,240.07663,0.0,1875,0,35345,1815,1187,4226,19783,1
7,Landkreis,Jülich,JULICH,0,Aachen,Rheinland,AAC,305.40082,30.059999,1875,0,39687,2304,273,6503,21175,1
8,Landkreis,Malmedy,MALMEDY,0,Aachen,Rheinland,AAC,846.38593,0.0,1875,0,30273,1157,475,6401,21950,1
9,Landkreis,Montjoie,MONTJOIE,0,Aachen,Rheinland,AAC,341.20419,0.0,1875,0,18003,793,2642,1805,5920,1
10,Landkreis,Schleiden,SCHLEIDEN,0,Aachen,Rheinland,AAC,794.40491,37.360001,1875,0,42990,1446,695,4855,21314,1
11,Landkreis,Altena,ALTENA,0,Arnsberg,Westfalen,ARN,638.38287,38.939999,1875,0,59295,3584,3596,3434,15602,1
12,Landkreis,Arnsberg,ARNSBERG,0,Arnsberg,Westfalen,ARN,681.24225,30.809999,1875,3,38344,2329,1330,3850,13693,1
13,Landkreis,Bochum,BOCHUM,0,Arnsberg,Westfalen,ARN,338.30588,162.48,1875,64,204030,3062,2257,5307,14157,1
14,Landkreis,Brilon,BRILON,0,Arnsberg,Westfalen,ARN,791.71405,39.84,1875,0,36748,2412,638,4651,10222,1
15,Landkreis,Dortmund,DORTMUND,0,Arnsberg,Westfalen,ARN,440.67749,107.41,1875,24,167169,3935,2898,5991,16745,1
16,Landkreis,Hagen,HAGEN,0,Arnsberg,Westfalen,ARN,402.83899,82.489998,1875,0,121670,5990,9619,7927,12377,1
17,Landkreis,Hamm,HAMM,0,Arnsberg,Westfalen,ARN,448.7348,86.839996,1875,0,62856,3375,632,5514,16993,1
18,Landkreis,Iserlohn,ISERLOHN,0,Arnsberg,Westfalen,ARN,331.11041,20.99,1875,0,56364,3038,7583,3102,7015,1
19,Landkreis,Lippstadt,LIPPSTADT,0,Arnsberg,Westfalen,ARN,497.013,27.34,1875,0,34790,2068,723,3186,15448,1
20,Landkreis,Meschede,MESCHEDE,0,Arnsberg,Westfalen,ARN,772.76227,29.9,1875,0,33270,1524,533,4009,16165,1
21,Landkreis,Olpe,OLPE,0,Arnsberg,Westfalen,ARN,599.66705,51.75,1875,0,32914,1332,524,2672,12378,1
22,Landkreis,Siegen,SIEGEN,0,Arnsberg,Westfalen,ARN,667.25983,49.900002,1875,2,63994,2875,4377,3790,19098,1
23,Landkreis,Soest,SOEST,0,Arnsberg,Westfalen,ARN,521.68372,43.990002,1875,0,48701,2737,663,5445,19363,1
24,Landkreis,Wittgenstein,WITTGENSTEIN,0,Arnsberg,Westfalen,ARN,487.72299,0.0,1875,0,19997,1480,2434,3078,8746,1
25,Stadtkreis,Berlin,BERLIN,2,Berlin,Brandenburg,BER,129.61664,31.57,1875,231,947353,42394,26913,64753,6064,0
26,Stadtkreis,Breslau,BRESLAU,2,Breslau,Schlesien,BRE,30.774879,7.3000002,1875,27,234257,14243,4347,31715,36355,0
27,Landkreis,Breslau,BRESLAU,1,Breslau,Schlesien,BRE,722.56549,103.28,1875,16,73951,14243,4347,31715,36355,1
28,Landkreis,Brieg,BRIEG,0,Breslau,Schlesien,BRE,646.76257,40.220001,1875,0,55272,2808,759,5553,23822,1
29,Landkreis,Frankenstein,FRANKENSTEIN,0,Breslau,Schlesien,BRE,491.03024,42.18,1875,1,50280,2683,1121,4775,21754,1
30,Landkreis,Glatz-Neurode,GLATZ-NEURODE,0,Breslau,Schlesien,BRE,858.8374,16.120001,1875,2,110787,5485,8945,9957,23652,1
31,Landkreis,Wartenberg,GROSS WARTENBERG,0,Breslau,Schlesien,BRE,903.31616,27.870001,1875,0,51343,1675,595,7212,30653,1
32,Landkreis,Guhrau,GUHRAU,0,Breslau,Schlesien,BRE,684.7182,4.2800002,1875,1,35171,2233,249,4740,21753,1
33,Landkreis,Habelschwerdt,HABELSCHWERDT,0,Breslau,Schlesien,BRE,770.5437,31.33,1875,0,61121,6512,4634,6211,20538,1
34,Landkreis,Militsch,MILITSCH,0,Breslau,Schlesien,BRE,948.57391,47.759998,1875,30,54023,2261,427,7115,35412,1
35,Landkreis,Münsterberg,MUNSTERBERG,0,Breslau,Schlesien,BRE,330.37555,32.529999,1875,5,32625,1841,222,4919,17926,1
36,Landkreis,Namslau,NAMSLAU,0,Breslau,Schlesien,BRE,600.1817,22.82,1875,4,36374,1324,327,4407,19596,1
37,Landkreis,Neumarkt,NEUMARKT,0,Breslau,Schlesien,BRE,714.2644,62.59,1875,3,55886,3114,294,7697,30589,1
38,Landkreis,Nimptsch,NIMPTSCH,0,Breslau,Schlesien,BRE,390.02826,0.0,1875,0,29670,1635,469,5170,22814,1
39,Landkreis,Ohlau,OHLAU,0,Breslau,Schlesien,BRE,650.58685,18.379999,1875,35,54781,2104,547,7178,31930,1
40,Landkreis,Oels,OLS,0,Breslau,Schlesien,BRE,930.80249,77.269997,1875,37,64466,2352,966,7084,36014,1
41,Landkreis,Reichenbach,REICHENBACH,0,Breslau,Schlesien,BRE,364.46991,21.99,1875,2,67151,2957,18852,5224,15180,1
42,Landkreis,Schweidnitz,SCHWEIDNITZ,0,Breslau,Schlesien,BRE,564.48444,47.68,1875,1,84917,4543,4341,9693,29732,1
43,Landkreis,Steinau,STEINAU,0,Breslau,Schlesien,BRE,418.30215,31.110001,1875,2,23929,1167,249,3497,11799,1
44,Landkreis,Strehlen,STREHLEN,0,Breslau,Schlesien,BRE,324.99878,22.9,1875,3,34405,1750,979,3419,16199,1
45,Landkreis,Striegau,STRIEGAU,0,Breslau,Schlesien,BRE,320.76361,15.22,1875,0,37867,2038,314,3626,14121,1
46,Landkreis,Trebnitz,TREBNITZ,0,Breslau,Schlesien,BRE,806.15558,34.200001,1875,8,50827,2079,784,7401,37348,1
47,Landkreis,Waldenburg,WALDENBURG,0,Breslau,Schlesien,BRE,372.39349,27.190001,1875,0,111213,4135,8512,6691,13249,1
48,Landkreis,Wohlau,WOHLAU,0,Breslau,Schlesien,BRE,784.6214,21.92,1875,2,47083,2159,448,6775,27725,1
49,Landkreis,Bromberg,BROMBERG,0,Bromberg,Posen,BRO,1479.2935,90.010002,1875,18,97731,3200,659,9894,23131,1
50,Landkreis,Chodziesen/Kolmar in Posen,CHODZIESEN,0,Bromberg,Posen,BRO,1100.0387,41.799999,1875,0,54304,1697,464,6067,30692,1
51,Landkreis,Taschrnikow,CZARNIKAU,0,Bromberg,Posen,BRO,1643.0693,68.540001,1875,8,68343,1517,676,8831,24991,1
52,Landkreis,Gnesen,GNESEN,0,Bromberg,Posen,BRO,1188.152,45.639999,1875,14,59720,1523,155,5039,37868,1
53,Landkreis,Inowraclaw/Hohensalza,INOWRAZLAW,0,Bromberg,Posen,BRO,1664.5381,77.129997,1875,172,76219,1875,228,7202,50528,1
54,Landkreis,Mogilnow,MOGILNO,0,Bromberg,Posen,BRO,947.27362,34.57,1875,4,44720,1118,118,4121,27573,1
55,Landkreis,Schubin,SCHUBIN,0,Bromberg,Posen,BRO,1134.0958,0.0,1875,0,56685,1626,463,4514,31779,1
56,Landkreis,Wirsitz,WIRSITZ,0,Bromberg,Posen,BRO,1177.5817,50.459999,1875,0,56696,1696,320,3610,34553,1
57,Landkreis,Wongrowiz,WONGROWITZ,0,Bromberg,Posen,BRO,1271.9598,0.0,1875,0,54438,1081,253,3032,37654,1
58,Landkreis,Berent,BERENT,0,Danzig,Preussen,DAN,1261.4812,0.0,1875,0,44581,600,98,3222,27556,1
59,Stadtkreis,Danzig,DANZIG,2,Danzig,Preussen,DAN,959.78027,11.9,1875,80,91890,5895,696,17470,2916,0
60,Landkreis,Danzig,DANZIG,1,Danzig,Preussen,DAN,118.29139,45.490002,1875,53,77680,1269,275,10538,34531,1
61,Landkreis,Elbing,ELBING,0,Danzig,Preussen,DAN,633.5423,23.73,1875,60,71015,3449,1068,9217,26169,1
62,Landkreis,Carthaus,KARTHAUS,0,Danzig,Preussen,DAN,1399.6865,0.0,1875,1,56645,404,115,3163,36549,1
63,Landkreis,Marienburg,MARIENBURG,0,Danzig,Preussen,DAN,804.74951,37.279999,1875,21,57546,2327,219,10621,27424,1
64,Landkreis,Neustadt,NEUSTADT,0,Danzig,Preussen,DAN,1463.071,50.009998,1875,0,62528,961,256,5653,35288,1
65,Landkreis,Stargard,PREUSSISCH STARGARD,0,Danzig,Preussen,DAN,1429.2941,95.279999,1875,6,73438,1425,698,7496,31499,1
66,Stadtkreis,Barmen,BARMEN,2,Düsseldorf,Rheinland,DUS,5.5828342,3.0999999,1875,20,86469,11181,33004,12106,12238,0
67,Stadtkreis,Duisburg,DUISBURG,2,Düsseldorf,Rheinland,DUS,33.988003,6.5,1875,0,37375,7183,6710,12498,29581,0
68,Landkreis,Düsseldorf,DUSSELDORF,0,Düsseldorf,Rheinland,DUS,402.24091,109.37,1875,77,126742,6792,3771,12509,24372,1
69,Stadtkreis,Elberfeld,ELBERFELD,2,Düsseldorf,Rheinland,DUS,20.735012,4.3000002,1875,2,80568,11181,33004,12106,12238,0
70,Landkreis,Essen,ESSEN,1,Düsseldorf,Rheinland,DUS,225.52451,128.02,1875,14,108565,7183,6710,12498,29581,1
71,Stadtkreis,Essen,ESSEN,2,Düsseldorf,Rheinland,DUS,21.161785,5.8000002,1875,2,54763,7183,6710,12498,29581,0
72,Landkreis,Geldern,GELDERN,0,Düsseldorf,Rheinland,DUS,552.01624,77.5,1875,3,50545,5683,3929,11578,55951,1
73,Landkreis,Gladbach,GLADBACH,0,Düsseldorf,Rheinland,DUS,251.02336,44.360001,1875,0,110659,3478,29518,4020,18140,1
