org_type,org_name,match_name,match_type,org_rbz,org_prv,match_rbz,o_craft_1849,o_ind_1849,o_serv_1849,o_agr_1849,p_1821,p_1831,c_1831,c_1832,c_1833,p_1837,c_1836,c_1837,p_1840,p_1843,p_1846,c_1848,p_1849,c_1849,c_1850,c_1851,p_1852,c_1852,c_1853,c_1854,p_1855,c_1855,c_1856,c_1857,c_1858,c_1859,p_1861,p_1864,c_1866,p_1867,c_1867,c_1868,p_1871,c_1873,c_1874,p_1875,rkm_1875,rkm_1874,rkm_1873,rkm_1872,rkm_1871,rkm_1870,rkm_1869,rkm_1868,rkm_1867,rkm_1866,rkm_1865,rkm_1864,rkm_1863,rkm_1862,rkm_1861,rkm_1860,rkm_1859,rkm_1858,rkm_1857,rkm_1856,rkm_1855,rkm_1854,rkm_1853,rkm_1852,rkm_1851,rkm_1850,rkm_1849,rkm_1848,rkm_1847,rkm_1846,rkm_1845,rkm_1844,rkm_1843,rkm_1842,rkm_1841,rkm_1840,rkm_1839,rkm_1838,rkm_1837,area
Landkreis,Aachen,AACHEN,1,Aachen,Rheinland,AAC,3319,7080,10270,11407,45877,51091,0,32,0,54064,0,0,56869,58885,61283,0,63437,176,0,0,67478,0,0,0,74481,1,0,0,0,0,80799,84785,602,87295,0,0,92198,0,0,97389,66.760002,66.760002,63.349998,57.169998,57.169998,57.169998,45.950001,45.950001,45.950001,45.950001,45.950001,45.950001,45.950001,43.689999,43.689999,43.689999,43.689999,43.689999,43.689999,43.689999,43.689999,43.689999,43.689999,29.67,29.67,29.67,29.67,29.67,29.67,29.67,29.67,29.67,29.67,21.01,21.01,0,0,0,0,363.84564
Stadtkreis,Aachen,AACHEN,2,Aachen,Rheinland,AAC,4469,19775,6222,3507,33581,37669,0,222,0,38878,0,0,43265,45561,47518,0,48687,216,0,0,51949,0,0,0,53496,117,0,0,0,0,58553,62444,152,66974,0,0,73143,0,0,78489,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,0,0,0,0,42.025661
Landkreis,Düren,DUREN,0,Aachen,Rheinland,AAC,2729,4574,5703,29154,40036,45439,0,0,0,48379,0,0,50461,51768,51792,0,53030,12,0,0,54227,0,0,0,55926,0,0,0,0,0,58824,61438,50,63384,85,0,66129,0,0,67999,66.279999,66.279999,66.279999,49.560001,49.560001,49.560001,49.560001,39.169998,39.169998,39.169998,39.169998,39.169998,22.370001,22.370001,22.370001,22.370001,22.370001,22.370001,22.370001,22.370001,22.370001,22.370001,22.370001,22.370001,22.370001,22.370001,22.370001,22.370001,22.370001,22.370001,22.370001,22.370001,22.370001,22.370001,22.370001,11.185,0,0,0,544.58789
Landkreis,Erkelenz,ERKELENZ,0,Aachen,Rheinland,AAC,1898,1334,2843,22968,30949,32634,0,0,0,33720,0,0,34097,34586,35143,0,35918,0,0,0,37266,0,0,0,37849,0,0,0,0,0,39203,40008,0,39738,0,0,38920,0,0,38126,13.71,13.71,13.71,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268.38068
Landkreis,Eupen,EUPEN,0,Aachen,Rheinland,AAC,1498,4546,1343,3895,17143,19058,0,0,0,20596,0,0,20946,21629,22072,0,22356,0,0,0,23137,0,0,0,23024,2,0,0,0,0,23740,24362,192,24874,0,0,25278,0,0,25443,15.14,15.14,15.14,15.14,15.14,15.14,15.14,15.14,15.14,15.14,15.14,15.14,9.8699999,9.8699999,9.8699999,9.8699999,9.8699999,9.8699999,9.8699999,9.8699999,9.8699999,9.8699999,9.8699999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.11438
Landkreis,Geilenkirchen,GEILENKIRCHEN,0,Aachen,Rheinland,AAC,1412,1912,2010,13674,21962,23049,0,0,0,24370,0,0,24882,25589,25823,0,26093,0,0,0,26569,0,0,0,26213,0,0,0,0,0,26616,26467,4,26291,0,0,25858,0,0,25949,17.32,17.32,17.32,17.32,17.32,17.32,17.32,17.32,17.32,17.32,17.32,17.32,17.32,17.32,17.32,17.32,17.32,17.32,17.32,17.32,17.32,17.32,17.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.24429
Landkreis,Heinsberg,HEINSBERG,0,Aachen,Rheinland,AAC,1815,1187,4226,19783,28471,30483,0,0,0,31251,0,0,32126,32705,33092,0,33595,0,0,0,34021,0,0,0,34574,0,0,0,0,0,35642,35969,1,35973,0,0,35647,0,0,35345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.07663
Landkreis,Jülich,JULICH,0,Aachen,Rheinland,AAC,2304,273,6503,21175,31238,34141,0,0,0,36117,0,0,36490,37148,37444,0,38149,0,0,0,38330,0,0,0,39134,0,0,0,0,0,40052,40558,13,40535,0,0,39925,0,0,39687,30.059999,30.059999,30.059999,30.059999,30.059999,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305.40082
Landkreis,Malmedy,MALMEDY,0,Aachen,Rheinland,AAC,1157,475,6401,21950,24877,26827,0,0,0,28192,0,0,28904,29314,30399,0,30818,62,0,0,30616,0,0,0,30329,0,0,0,0,0,30964,31386,0,30769,0,0,30163,0,0,30273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846.38593
Landkreis,Montjoie,MONTJOIE,0,Aachen,Rheinland,AAC,793,2642,1805,5920,17439,17764,0,0,0,18610,0,0,19097,19432,19658,0,20056,0,0,0,20557,0,0,0,20818,2,0,0,0,0,20367,19695,7,19121,0,0,18271,0,0,18003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341.20419
Landkreis,Schleiden,SCHLEIDEN,0,Aachen,Rheinland,AAC,1446,695,4855,21314,29726,33002,0,0,0,34926,0,0,35738,35356,35751,0,35964,0,0,0,36286,0,0,0,38014,0,0,0,0,0,40218,41070,0,42197,0,0,42632,0,0,42990,37.360001,37.360001,37.360001,11.3,11.3,11.3,11.3,11.3,9,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794.40491
Landkreis,Altena,ALTENA,0,Arnsberg,Westfalen,ARN,3584,3596,3434,15602,27492,34172,0,0,0,38134,0,0,40262,41855,42717,0,43034,1,1.022900763,0,44397,0,0,0,45255,0,0,0,0,7,49592,50962,1,53232,25,0,54968,0,0,59295,38.939999,38.939999,30.049999,30.049999,30.049999,30.049999,30.049999,30.049999,30.049999,30.049999,30.049999,30.049999,30.049999,30.049999,30.049999,30.049999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638.38287
Landkreis,Arnsberg,ARNSBERG,0,Arnsberg,Westfalen,ARN,2329,1330,3850,13693,20360,27397,0,0,0,29661,0,0,31302,32471,32721,0,33352,1,1.022900763,0,34615,0,0,0,35471,0,0,0,0,8,36081,35782,5,36471,0,0,36899,0,0,38344,30.809999,30.809999,30.809999,30.809999,30.809999,30.809999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681.24225
Landkreis,Bochum,BOCHUM,0,Arnsberg,Westfalen,ARN,3062,2257,5307,14157,29642,38891,0,0,0,43930,0,0,48058,51040,53309,0,55828,21,21.48091603,0,59466,0,0,0,64428,0,0,0,0,5,83589,97140,757,115728,24,0,148670,0,0,204030,162.48,162.48,162.48,162.48,162.48,162.48,162.48,89.629997,89.629997,89.629997,89.629997,89.629997,89.629997,60.259998,60.259998,60.259998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338.30588
Landkreis,Brilon,BRILON,0,Arnsberg,Westfalen,ARN,2412,638,4651,10222,29970,32759,0,0,0,34259,0,0,35557,36109,36765,0,37537,0,0,0,37504,0,0,0,38107,0,0,0,0,0,38909,38553,2,36626,0,0,38096,0,0,36748,39.84,39.84,39.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,791.71405
Landkreis,Dortmund,DORTMUND,0,Arnsberg,Westfalen,ARN,3935,2898,5991,16745,31947,38315,0,0,0,42555,0,0,44398,47042,50642,0,54212,15,15.34351145,0,60386,0,0,0,69834,6,0,0,0,0,86298,96345,658,112149,5,0,137078,0,0,167169,107.41,107.41,79.839996,79.839996,79.839996,79.839996,79.839996,79.839996,60.259998,60.259998,60.259998,60.259998,60.259998,60.259998,26.59,26.59,26.59,26.59,26.59,26.59,26.59,26.59,26.59,26.59,26.59,26.59,26.59,26.59,26.59,0,0,0,0,0,0,0,0,0,0,440.67749
Landkreis,Hagen,HAGEN,0,Arnsberg,Westfalen,ARN,5990,9619,7927,12377,44446,54353,0,0,0,62097,0,0,66610,69634,72796,0,73404,0,0,0,77051,0,0,0,80237,0,0,0,0,65,91739,97185,192,102190,97,0,109188,0,0,121670,82.489998,82.489998,82.489998,82.489998,82.489998,82.489998,82.489998,42.18,42.18,42.18,42.18,42.18,42.18,42.18,40.830002,40.830002,40.830002,27.42,27.42,27.42,27.42,27.42,27.42,27.42,27.42,27.42,27.42,27.42,0,0,0,0,0,0,0,0,0,0,0,402.83899
Landkreis,Hamm,HAMM,0,Arnsberg,Westfalen,ARN,3375,632,5514,16993,32228,37053,0,0,0,38522,0,0,40290,41996,42658,0,44032,84,85.92366412,0,45602,0,1,0,46890,0,0,0,0,1,52523,55222,91,57357,8,0,58933,0,0,62856,86.839996,86.839996,86.160004,86.160004,86.160004,86.160004,72.080002,72.080002,72.080002,72.080002,59.799999,59.799999,59.799999,59.799999,59.799999,59.799999,59.799999,59.799999,59.799999,59.799999,59.799999,44.509998,44.509998,44.509998,44.509998,44.509998,44.509998,44.509998,44.509998,0,0,0,0,0,0,0,0,0,0,448.7348
Landkreis,Iserlohn,ISERLOHN,0,Arnsberg,Westfalen,ARN,3038,7583,3102,7015,25727,28021,0,0,0,34469,0,0,35607,36768,38527,0,39257,0,0,0,41220,0,0,0,43207,0,0,0,0,0,46207,49221,6,51351,15,0,53325,0,0,56364,20.99,20.99,20.99,20.99,20.99,20.99,17,17,17,17,17,17,11.35,11.35,11.35,11.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331.11041
Landkreis,Lippstadt,LIPPSTADT,0,Arnsberg,Westfalen,ARN,2068,723,3186,15448,25758,27696,0,0,0,28305,0,0,29314,30975,31297,0,32124,0,0,0,32907,0,19,0,33410,0,0,0,0,0,34403,34936,125,65285,18,0,34639,0,0,34790,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,0,0,0,0,0,0,0,0,0,0,0,0,0,497.013
Landkreis,Meschede,MESCHEDE,0,Arnsberg,Westfalen,ARN,1524,533,4009,16165,22634,24543,0,0,0,26048,0,0,27521,28232,28377,0,28820,2,2.045801527,0,29352,0,0,0,31909,0,0,0,0,0,32275,32542,0,32746,0,0,33603,0,0,33270,29.9,29.9,29.9,29.9,29.9,29.9,9.1899996,9.1899996,9.1899996,9.1899996,9.1899996,9.1899996,9.1899996,9.1899996,9.1899996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772.76227
